campaign,cloud_id,flight_id,duration_s,H_m,cloud_depth,lat_median,lon_median,Nd_median,re_cas_median,re_full_median,tau_main,tau_full,tau_diff,f_ad_mean,f_ad_median,k_median,c_w_median,LWP_insitu,drizzle_regime,drizzle_fraction,dominant_mixing_regime,mean_z_drizzle,min_z_drizzle,max_z_drizzle,match_status,modis_file,delta_t_min,n_pixels_valid_21,n_pixels_valid_37,Re_MODIS_21,Re_MODIS_37,tau_MODIS_21,tau_MODIS_37,Re_MODIS_21_paired37,tau_MODIS_21_paired37,dRe_37_21,dtau_37_21,SZA_mean,VZA_mean,LWP_MODIS,CTT_MODIS,CTP_MODIS,Nd_MODIS_21_calc,Nd_MODIS_37_calc,Nd_MODIS_21_paired37_calc,Nd_MODIS_21_lit,Nd_MODIS_37_lit,Nd_MODIS_21_paired37_lit,bias_21_calc,bias_37_calc,dNd_calc,bias_21_lit,bias_37_lit,dNd_lit,inflation_21,drizzle_regime_clean
POST,RF12_P14,RF12,3061.0,462.15576171875,470.1579895019531,36.25138473510742,-122.79763793945312,71.67655329033732,9.573261875651935,9.598449064732185,18.68470525822344,18.669303102545523,0.0154021556779149,0.3012062130164308,0.3012062130164308,0.9067199783521632,0.0036834049228327,156.66736776587095,non_drizzling,0.0003265839320705,strongly_mixed,0.6980871067404267,0.6980871067404267,0.6980871067404267,NO_VALID_PIXELS,MOD06_L2.A2008221.0610.061.2017293004717.hdf,68.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,non_drizzling
POST,RF13_P02,RF13,1859.0,462.4727630615234,509.9335021972656,37.12037658691406,-122.93491744995116,141.92410345748067,7.643363582746031,8.13103569496825,15.56082959574004,14.865515190082297,0.6953144056577436,0.2910902702916256,0.2910902702916256,0.8987530826319475,0.003550546759187,107.83161003989784,heavy_drizzling,0.1397849462365591,strongly_mixed,0.2337257174447166,0.0,0.6427458611413622,NO_VALID_PIXELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy_drizzling
POST,RF13_P04,RF13,237.0,433.17970275878906,433.17970275878906,37.39345550537109,-123.47161483764648,76.56392905116081,12.025142779482051,12.811938470708489,13.627684866614612,12.819784238580224,0.8079006280343872,0.3089603033049332,0.3089603033049332,0.8842211880143402,0.0036067310257433,111.05343007508256,heavy_drizzling,0.315126050420168,strongly_mixed,0.4396635140808435,0.0996685496232413,0.7605378728596581,NO_VALID_PIXELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy_drizzling
POST,RF13_P05,RF13,370.0,345.6153564453125,353.2538452148437,37.01239013671875,-123.8936767578125,78.32790603488684,9.140934375079691,9.451143146489896,7.215377806614806,7.052994789227454,0.1623830173873521,0.2790623537715285,0.2790623537715285,0.7035698957752292,0.0037182394085978,53.09857516647428,weak_drizzling,0.0188679245283018,strongly_mixed,0.6172777105589011,0.5361129043601813,0.7476085324660788,NO_VALID_PIXELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak_drizzling
POST,RF13_P06,RF13,1838.0,424.3599853515625,424.3599853515625,37.08336639404297,-123.50216674804688,36.9207159280777,11.560689691209356,12.168029374234878,10.655405678091402,9.930923813512758,0.7244818645786442,0.3053419917083427,0.3053419917083427,0.7993808858413685,0.0036612926094168,85.51764510662639,moderate_drizzling,0.1196302338227297,strongly_mixed,0.5372646144606786,0.2602218653204125,0.7215352462495646,NO_VALID_PIXELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate_drizzling
POST,RF13_P07,RF13,428.0,427.7650146484375,436.6917114257813,36.991153717041016,-123.21768951416016,47.05323067307472,12.148530418456222,15.604367310263903,8.510514987001397,7.128191887552948,1.382323099448449,0.2377147123577011,0.2377147123577011,0.8641743608208573,0.0036059187708091,80.55624586212798,heavy_drizzling,0.5827505827505828,strongly_mixed,0.3637866892014928,0.0,0.8287297994863162,NO_VALID_PIXELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy_drizzling
POST,RF13_P08,RF13,1889.0,443.9290771484375,443.9290771484375,36.65567970275879,-123.52903366088869,59.86812299489975,11.363905512771275,12.730631337163068,16.5415810424385,15.05405268384874,1.4875283585897616,0.2926627215462926,0.2926627215462926,0.7744554729191504,0.0035993433477476,123.50645480359545,heavy_drizzling,0.1380952380952381,strongly_mixed,0.5561828408115548,0.0,0.9698800587329284,NO_COVERAGE,MOD06_L2.A2008222.0515.061.2017293004547.hdf,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy_drizzling
POST,RF13_P10,RF13,339.0,287.1712646484375,291.285888671875,36.36138534545898,-123.53243255615234,59.53769624233246,10.680770004954526,12.851531081522555,8.277899037759887,8.031588546318085,0.2463104914418021,0.4034360074928048,0.4034360074928048,0.7433406501737719,0.0035937029918697,67.42460435732005,weak_drizzling,0.0235294117647058,sub_adiabatic,0.2590518605709312,0.0336779579571147,0.8250616297568824,NO_COVERAGE,MOD06_L2.A2008222.0515.061.2017293004547.hdf,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak_drizzling
POST,RF13_P12,RF13,1901.0,431.08436584472656,435.68055725097656,36.43596649169922,-123.03130340576172,47.65631975233555,11.54647264524117,13.366610049485184,14.455306269172478,14.229127470949006,0.2261787982234722,0.3544860749429815,0.3544860749429815,0.8258514346628412,0.0035344917463901,119.42278768738652,heavy_drizzling,0.138801261829653,strongly_mixed,0.7919110794636378,0.5660925234640133,0.9636550673074938,NO_COVERAGE,MOD06_L2.A2008222.0515.061.2017293004547.hdf,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy_drizzling
POST,RF14_P02,RF14,1168.0,384.3262786865234,470.1468963623047,36.91539764404297,-122.87018585205078,168.24051585793495,8.576205123327355,9.55184087476174,14.7852543197601,12.300210825386529,2.48504349437357,0.3395456637245554,0.3395456637245554,0.8007615940254993,0.0037842142252504,145.4873626185971,heavy_drizzling,0.5149700598802395,strongly_mixed,0.3973322822936411,0.0,0.7740146145287689,NO_VALID_PIXELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy_drizzling
